,Agency Name,American Indian/Alaska Native,Black,Hispanic,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Asian or Asian/Pacific Islander,Total Enrollment
794,RAMONA CITY UNIFIED,52.0,45.0,2035.0,3126.0,8.0,213.0,44.0,5523.0
795,RANCHO SANTA FE ELEMENTARY,2.0,5.0,72.0,468.0,0.0,49.0,45.0,641.0
796,RAVENDALE-TERMO ELEMENTARY,22.0,9.0,93.0,480.0,1.0,50.0,5.0,660.0
797,RAVENSWOOD CITY ELEMENTARY,4.0,255.0,3209.0,23.0,294.0,46.0,22.0,3853.0
798,RAYMOND-KNOWLES UNION ELEMENTARY,8.0,0.0,18.0,48.0,0.0,5.0,4.0,83.0
799,RED BLUFF JOINT UNION HIGH,53.0,20.0,466.0,1015.0,4.0,51.0,21.0,1630.0
800,RED BLUFF UNION ELEMENTARY,63.0,23.0,734.0,1137.0,6.0,80.0,17.0,2060.0
801,REDDING ELEMENTARY,109.0,61.0,484.0,2241.0,9.0,230.0,85.0,3219.0
802,REDLANDS UNIFIED,79.0,1335.0,10321.0,6238.0,70.0,991.0,2361.0,21395.0
803,REDONDO BEACH UNIFIED,24.0,417.0,2284.0,4581.0,44.0,1334.0,1104.0,9788.0
804,REDWOOD CITY ELEMENTARY,7.0,91.0,6467.0,1717.0,105.0,283.0,317.0,8987.0
805,REED UNION ELEMENTARY,2.0,11.0,59.0,1227.0,2.0,117.0,112.0,1530.0
806,REEDS CREEK ELEMENTARY,7.0,1.0,16.0,121.0,0.0,6.0,0.0,151.0
807,REEF-SUNSET UNIFIED,3.0,1.0,2567.0,69.0,0.0,5.0,5.0,2650.0
808,RESCUE UNION ELEMENTARY,9.0,41.0,580.0,2674.0,10.0,172.0,234.0,3720.0
809,RIALTO UNIFIED,74.0,2541.0,21449.0,910.0,124.0,240.0,346.0,25684.0
810,RICHFIELD ELEMENTARY,2.0,1.0,109.0,117.0,0.0,8.0,5.0,242.0
811,RICHGROVE ELEMENTARY,3.0,0.0,597.0,7.0,0.0,0.0,16.0,623.0
812,RICHLAND UNION ELEMENTARY,1.0,11.0,3258.0,155.0,2.0,2.0,37.0,3466.0
813,RICHMOND ELEMENTARY,1.0,0.0,19.0,183.0,1.0,12.0,0.0,216.0
814,RIM OF THE WORLD UNIFIED,14.0,36.0,1270.0,2011.0,6.0,151.0,33.0,3521.0
815,RINCON VALLEY UNION ELEMENTARY,50.0,96.0,983.0,2035.0,47.0,129.0,212.0,3552.0
816,RIO BRAVO-GREELEY UNION ELEMENTARY,20.0,13.0,425.0,544.0,5.0,8.0,18.0,1033.0
817,RIO DELL ELEMENTARY,14.0,2.0,75.0,216.0,0.0,24.0,1.0,332.0
818,RIO ELEMENTARY,13.0,47.0,4418.0,352.0,14.0,67.0,231.0,5142.0
819,RIPON UNIFIED,15.0,97.0,1433.0,2101.0,18.0,296.0,258.0,4218.0
820,RIVER DELTA JOINT UNIFIED,14.0,35.0,1244.0,902.0,6.0,116.0,29.0,2346.0
821,RIVERBANK UNIFIED,9.0,28.0,2338.0,429.0,7.0,42.0,22.0,2875.0
822,RIVERDALE JOINT UNIFIED,9.0,13.0,1360.0,236.0,1.0,3.0,9.0,1631.0
823,RIVERSIDE COUNTY OFFICE OF EDUCATION,52.0,509.0,4114.0,3174.0,27.0,439.0,205.0,8520.0
824,RIVERSIDE COUNTY OFFICE OF EDUCATION ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825,RIVERSIDE UNIFIED,176.0,2937.0,26530.0,9668.0,175.0,1296.0,1924.0,42706.0
826,ROBERTS FERRY UNION ELEMENTARY,0.0,1.0,48.0,69.0,0.0,12.0,1.0,131.0
827,ROBLA ELEMENTARY,26.0,342.0,1037.0,325.0,63.0,71.0,420.0,2284.0
828,ROCKFORD ELEMENTARY,3.0,2.0,180.0,165.0,0.0,7.0,13.0,370.0
829,ROCKLIN UNIFIED,66.0,196.0,1900.0,8499.0,54.0,1006.0,1508.0,13229.0
830,ROMOLAND ELEMENTARY,8.0,191.0,2607.0,828.0,33.0,39.0,126.0,3832.0
831,ROSEDALE UNION ELEMENTARY,43.0,150.0,1847.0,3032.0,8.0,209.0,330.0,5619.0
832,ROSELAND,34.0,20.0,2633.0,84.0,4.0,41.0,36.0,2852.0
833,ROSEMEAD ELEMENTARY,3.0,4.0,1016.0,48.0,0.0,133.0,1307.0,2511.0
834,ROSEVILLE CITY ELEMENTARY,60.0,223.0,2402.0,5528.0,48.0,1056.0,1237.0,10554.0
835,ROSEVILLE JOINT UNION HIGH,47.0,403.0,1846.0,6074.0,64.0,536.0,1234.0,10204.0
836,ROSS ELEMENTARY,1.0,0.0,24.0,341.0,2.0,10.0,5.0,383.0
837,ROSS VALLEY ELEMENTARY,8.0,22.0,210.0,1782.0,4.0,125.0,82.0,2233.0
838,ROUND VALLEY JOINT ELEMENTARY,7.0,0.0,22.0,99.0,2.0,7.0,1.0,138.0
839,ROUND VALLEY UNIFIED,250.0,0.0,124.0,51.0,0.0,10.0,0.0,435.0
840,ROWLAND UNIFIED,21.0,304.0,9038.0,530.0,44.0,274.0,4017.0,14228.0
841,SACRAMENTO CITY UNIFIED,274.0,7536.0,18460.0,8141.0,932.0,3018.0,8376.0,46737.0
842,SACRAMENTO COUNTY OFFICE OF EDUCATION,36.0,1108.0,604.0,223.0,27.0,118.0,98.0,2214.0
843,SACRAMENTO COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844,SADDLEBACK VALLEY UNIFIED,45.0,394.0,9636.0,12640.0,66.0,1849.0,3088.0,27718.0
845,SAINT HELENA UNIFIED,7.0,4.0,603.0,555.0,1.0,15.0,14.0,1199.0
846,SALIDA UNION ELEMENTARY,3.0,101.0,1929.0,904.0,21.0,157.0,167.0,3282.0
847,SALINAS CITY ELEMENTARY,5.0,68.0,8162.0,497.0,9.0,125.0,157.0,9023.0
848,SALINAS UNION HIGH,21.0,134.0,12877.0,1284.0,21.0,74.0,534.0,14945.0
849,SAN ANTONIO ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850,SAN ANTONIO ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
851,SAN ANTONIO UNION ELEMENTARY,1.0,8.0,55.0,75.0,0.0,16.0,2.0,157.0
852,SAN ARDO UNION ELEMENTARY,0.0,0.0,91.0,5.0,0.0,1.0,0.0,97.0
853,SAN BENITO COUNTY OFFICE OF EDUCATION,0.0,0.0,44.0,4.0,0.0,0.0,0.0,48.0
854,SAN BENITO HIGH,6.0,12.0,2149.0,765.0,1.0,38.0,72.0,3043.0
855,SAN BERNARDINO CITY UNIFIED,260.0,6420.0,39586.0,3167.0,229.0,2544.0,946.0,53152.0
856,SAN BERNARDINO COUNTY OFFICE OF EDUCATION,36.0,521.0,2152.0,458.0,10.0,186.0,75.0,3438.0
857,SAN BERNARDINO COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
858,SAN BRUNO PARK ELEMENTARY,3.0,48.0,1033.0,571.0,144.0,244.0,626.0,2669.0
859,SAN CARLOS ELEMENTARY,2.0,33.0,521.0,2061.0,8.0,427.0,464.0,3516.0
860,SAN DIEGO COUNTY OFFICE OF EDUCATION,18.0,223.0,1428.0,821.0,12.0,120.0,503.0,3125.0
861,SAN DIEGO COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
862,SAN DIEGO UNIFIED,298.0,11087.0,59806.0,29347.0,572.0,9728.0,17202.0,128040.0
863,SAN DIEGUITO UNION HIGH,43.0,98.0,1722.0,8459.0,24.0,342.0,2226.0,12914.0
864,SAN FRANCISCO COUNTY OFFICE OF EDUCATION,5.0,99.0,119.0,53.0,12.0,26.0,48.0,362.0
865,SAN FRANCISCO COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866,SAN FRANCISCO UNIFIED,244.0,5367.0,18255.0,8467.0,620.0,5189.0,21991.0,60133.0
867,SAN GABRIEL UNIFIED,26.0,107.0,2505.0,485.0,10.0,351.0,2818.0,6302.0
868,SAN JACINTO UNIFIED,253.0,920.0,7756.0,1645.0,70.0,309.0,223.0,11176.0
869,SAN JOAQUIN COUNTY OFFICE OF EDUCATION,31.0,481.0,2338.0,800.0,29.0,197.0,391.0,4267.0
870,SAN JOAQUIN COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
871,SAN JOAQUIN DATA PROCESSING JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
872,SAN JOSE UNIFIED,111.0,799.0,17050.0,7701.0,115.0,1449.0,4779.0,32004.0
873,SAN JUAN UNIFIED,459.0,3648.0,11260.0,27934.0,390.0,2270.0,3292.0,49253.0
874,SAN LEANDRO UNIFIED,22.0,1178.0,4137.0,761.0,107.0,392.0,2041.0,8638.0
875,SAN LORENZO UNIFIED,34.0,1248.0,6556.0,942.0,159.0,296.0,2472.0,11707.0
876,SAN LORENZO VALLEY UNIFIED,18.0,40.0,799.0,3258.0,13.0,576.0,217.0,4921.0
877,SAN LUCAS UNION ELEMENTARY,0.0,0.0,55.0,10.0,2.0,1.0,0.0,68.0
878,SAN LUIS COASTAL UNIFIED,29.0,67.0,2199.0,4601.0,15.0,373.0,434.0,7718.0
879,SAN LUIS OBISPO COUNTY OFFICE OF EDUCATION,11.0,7.0,292.0,99.0,2.0,7.0,3.0,421.0
880,SAN MARCOS UNIFIED,60.0,396.0,9523.0,9323.0,97.0,48.0,1523.0,20970.0
881,SAN MARINO UNIFIED,3.0,19.0,217.0,733.0,7.0,269.0,1826.0,3074.0
882,SAN MATEO COUNTY OFFICE OF EDUCATION,0.0,9.0,115.0,41.0,12.0,10.0,53.0,240.0
883,SAN MATEO COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
884,SAN MATEO UNION HIGH,19.0,87.0,2847.0,2634.0,213.0,777.0,2527.0,9104.0
885,SAN MATEO-FOSTER CITY,12.0,132.0,4097.0,3091.0,279.0,961.0,3398.0,11970.0
886,SAN MIGUEL JOINT UNION,3.0,1.0,448.0,402.0,0.0,31.0,7.0,892.0
887,SAN PASQUAL UNION ELEMENTARY,1.0,10.0,146.0,341.0,0.0,41.0,14.0,553.0
888,SAN PASQUAL VALLEY UNIFIED,333.0,6.0,320.0,16.0,0.0,37.0,0.0,712.0
889,SAN RAFAEL CITY ELEMENTARY,15.0,46.0,3194.0,1269.0,11.0,40.0,183.0,4758.0
890,SAN RAFAEL CITY HIGH,13.0,38.0,1397.0,868.0,9.0,32.0,162.0,2519.0
891,SAN RAMON VALLEY UNIFIED,61.0,541.0,2843.0,13801.0,57.0,2452.0,12621.0,32376.0
892,SAN YSIDRO ELEMENTARY,1.0,107.0,4366.0,72.0,2.0,60.0,207.0,4815.0
893,SANGER UNIFIED,31.0,142.0,8143.0,1665.0,19.0,488.0,1234.0,11722.0
894,SANTA ANA UNIFIED,124.0,153.0,50678.0,1445.0,70.0,422.0,1613.0,54505.0
895,SANTA BARBARA COUNTY OFFICE OF EDUCATION,1.0,5.0,193.0,42.0,0.0,4.0,5.0,250.0
896,SANTA BARBARA COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
897,SANTA BARBARA COUNTY SELPA JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
898,SANTA BARBARA UNIFIED,77.0,157.0,9029.0,5129.0,17.0,182.0,594.0,15185.0
899,SANTA CLARA COUNTY OFFICE OF EDUCATION,44.0,326.0,6706.0,1301.0,35.0,603.0,2028.0,11043.0
900,SANTA CLARA COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
901,SANTA CLARA ELEMENTARY,0.0,0.0,24.0,26.0,0.0,5.0,1.0,56.0
902,SANTA CLARA UNIFIED,85.0,446.0,5391.0,3202.0,98.0,795.0,5350.0,15367.0
903,SANTA CLARITA VLLY SCH FOOD SVS AGENCY JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
904,SANTA CRUZ CITY ELEMENTARY,5.0,36.0,844.0,1110.0,10.0,93.0,108.0,2206.0
905,SANTA CRUZ CITY ELEMENTARY/HIGH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
906,SANTA CRUZ CITY HIGH,21.0,58.0,1706.0,2415.0,14.0,201.0,167.0,4582.0
907,SANTA CRUZ COUNTY OFFICE OF EDUCATION,8.0,11.0,458.0,667.0,0.0,68.0,35.0,1247.0
908,SANTA CRUZ COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
909,SANTA MARIA JOINT UNION HIGH,23.0,80.0,6599.0,780.0,11.0,117.0,248.0,7858.0
910,SANTA MARIA-BONITA,30.0,71.0,15869.0,519.0,6.0,52.0,321.0,16868.0
911,SANTA MONICA-MALIBU UNIFIED,28.0,734.0,3266.0,5549.0,18.0,689.0,721.0,11005.0
912,SANTA PAULA UNIFIED,5.0,6.0,5223.0,193.0,3.0,11.0,13.0,5454.0
913,SANTA RITA UNION ELEMENTARY,5.0,24.0,3047.0,329.0,8.0,28.0,78.0,3519.0
914,SANTA ROSA CITY SCHOOLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
915,SANTA ROSA ELEMENTARY,36.0,94.0,3286.0,1392.0,13.0,235.0,259.0,5315.0
916,SANTA ROSA HIGH,93.0,252.0,5362.0,4098.0,55.0,664.0,739.0,11263.0
917,SANTA YNEZ VALLEY UNION HIGH,10.0,2.0,408.0,492.0,0.0,39.0,5.0,956.0
918,SANTEE,30.0,107.0,1896.0,3759.0,20.0,725.0,224.0,6761.0
919,SARATOGA UNION ELEMENTARY,1.0,3.0,71.0,565.0,2.0,191.0,1073.0,1906.0
920,SAUCELITO ELEMENTARY,0.0,2.0,62.0,28.0,0.0,2.0,0.0,94.0
921,SAUGUS UNION,24.0,368.0,3190.0,4654.0,22.0,261.0,1381.0,9900.0
922,SAUSALITO MARIN CITY,2.0,119.0,154.0,176.0,0.0,49.0,58.0,558.0
923,SAVANNA ELEMENTARY,4.0,82.0,1374.0,307.0,15.0,104.0,445.0,2331.0
924,SBC - HIGH TECH HIGH,25.0,70.0,1472.0,590.0,9.0,115.0,204.0,2485.0
925,SBE - ACADEMIA AVANCE CHARTER,0.0,0.0,376.0,0.0,0.0,21.0,0.0,397.0
926,SBE - ANAHUACALMECAC INTERNATIONAL UNIV PREP OF N. AMERICA,2.0,2.0,363.0,1.0,0.0,6.0,0.0,374.0
927,SBE - AUDEO CHARTER II,0.0,6.0,173.0,89.0,2.0,14.0,3.0,287.0
928,SBE - BARACK OBAMA CHARTER,1.0,211.0,134.0,3.0,0.0,5.0,1.0,355.0
929,SBE - BAYPOINT PREPARATORY ACADEMY,1.0,25.0,171.0,164.0,1.0,9.0,12.0,383.0
930,SBE - LIFELINE EDUCATION CHARTER,0.0,89.0,537.0,0.0,0.0,2.0,0.0,628.0
931,SBE - MAGNOLIA SCIENCE ACADEMY SANTA ANA,4.0,4.0,529.0,74.0,0.0,12.0,16.0,639.0
932,SBE - NEW WEST CHARTER,2.0,55.0,214.0,418.0,3.0,67.0,66.0,825.0
933,SBE - OLIVE GROVE CHARTER,2.0,4.0,157.0,117.0,1.0,14.0,3.0,298.0
934,SBE - ONEPURPOSE,0.0,66.0,45.0,0.0,4.0,5.0,3.0,123.0
935,SBE - PARAMOUNT COLLEGIATE ACADEMY,0.0,9.0,26.0,44.0,0.0,1.0,2.0,82.0
936,SBE - PREPA TEC LOS ANGELES HIGH,0.0,0.0,111.0,1.0,0.0,0.0,0.0,112.0
937,SBE - RIDGECREST CHARTER,3.0,7.0,146.0,275.0,0.0,29.0,15.0,475.0
938,SBE - ROCKETSHIP FUTURO ACADEMY,0.0,5.0,103.0,4.0,2.0,4.0,6.0,124.0
939,SBE - ROSS VALLEY ELEMENTARY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
940,SBE - THE NEW SCHOOL OF SAN FRANCISCO,2.0,6.0,1.0,59.0,0.0,51.0,11.0,130.0
941,SBE - THE SCHOOL OF ARTS AND ENTERPRISE,3.0,35.0,543.0,90.0,6.0,61.0,7.0,745.0
942,SBE - THRIVE PUBLIC,4.0,64.0,181.0,141.0,3.0,46.0,22.0,461.0
943,SBE - WEI YU INTERNATIONAL CHARTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
944,SCHOOL PROJECT UTILITY RATE REDUCTION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
945,SCOTIA UNION ELEMENTARY,5.0,0.0,23.0,155.0,1.0,25.0,2.0,211.0
946,SCOTT VALLEY UNIFIED,82.0,6.0,81.0,411.0,2.0,60.0,13.0,655.0
947,SCOTTS VALLEY UNIFIED,9.0,8.0,346.0,1784.0,2.0,255.0,101.0,2505.0
948,SEBASTOPOL UNION ELEMENTARY,5.0,6.0,255.0,562.0,3.0,86.0,11.0,928.0
949,SEELEY UNION ELEMENTARY,2.0,3.0,299.0,21.0,0.0,7.0,3.0,335.0
950,SEIAD ELEMENTARY,4.0,0.0,6.0,5.0,1.0,3.0,0.0,19.0
951,SELMA UNIFIED,11.0,16.0,5824.0,316.0,5.0,11.0,276.0,6459.0
952,SEMITROPIC ELEMENTARY,1.0,2.0,216.0,7.0,0.0,0.0,0.0,226.0
953,SEQUOIA UNION ELEMENTARY,2.0,0.0,108.0,212.0,1.0,8.0,2.0,333.0
954,SEQUOIA UNION HIGH,35.0,255.0,4578.0,3515.0,241.0,411.0,876.0,9911.0
955,SHAFFER UNION ELEMENTARY,9.0,0.0,58.0,103.0,1.0,7.0,2.0,180.0
956,SHANDON JOINT UNIFIED,0.0,4.0,226.0,63.0,1.0,16.0,0.0,310.0
957,SHASTA COUNTY OFFICE OF EDUCATION,15.0,3.0,73.0,432.0,1.0,61.0,7.0,592.0
958,SHASTA UNION ELEMENTARY,12.0,2.0,15.0,119.0,2.0,1.0,0.0,151.0
959,SHASTA UNION HIGH,198.0,103.0,776.0,4009.0,16.0,319.0,310.0,5731.0
960,SHASTA-TRINITY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
961,SHASTA-TRINITY ROP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
962,SHILOH ELEMENTARY,0.0,0.0,99.0,43.0,0.0,15.0,1.0,158.0
963,SHORELINE UNIFIED,6.0,1.0,294.0,194.0,4.0,8.0,8.0,515.0
964,SIERRA COUNTY OFFICE OF EDUCATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
965,SIERRA SANDS UNIFIED,75.0,288.0,1335.0,2935.0,38.0,128.0,221.0,5020.0
966,SIERRA UNIFIED,199.0,12.0,215.0,859.0,0.0,12.0,26.0,1323.0
967,SIERRA-PLUMAS JOINT UNIFIED,0.0,2.0,55.0,300.0,0.0,18.0,1.0,376.0
968,SILICON VALLEY JOINT POWERS TRANSPORTATION AGENCY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
969,SILVER FORK ELEMENTARY,0.0,0.0,1.0,10.0,0.0,0.0,0.0,11.0
970,SILVER VALLEY UNIFIED,24.0,242.0,739.0,862.0,51.0,186.0,64.0,2168.0
971,SIMI VALLEY UNIFIED,36.0,171.0,6147.0,8351.0,23.0,732.0,1689.0,17149.0
972,SISKIYOU COUNTY OFFICE OF EDUCATION,22.0,3.0,77.0,352.0,0.0,71.0,5.0,530.0
973,SISKIYOU ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
974,SISKIYOU UNION HIGH,33.0,14.0,102.0,337.0,5.0,47.0,17.0,555.0
975,SNELLING-MERCED FALLS UNION ELEMENTARY,1.0,1.0,34.0,38.0,0.0,2.0,0.0,76.0
976,SNOWLINE JOINT UNIFIED,41.0,481.0,3455.0,2908.0,28.0,573.0,162.0,7648.0
977,SOLANA BEACH ELEMENTARY,3.0,10.0,423.0,1598.0,1.0,218.0,759.0,3012.0
978,SOLANO COUNTY OFFICE OF EDUCATION,2.0,55.0,117.0,85.0,2.0,29.0,27.0,317.0
979,SOLEDAD UNIFIED,8.0,19.0,4624.0,103.0,8.0,16.0,78.0,4856.0
980,SOLVANG ELEMENTARY,4.0,6.0,313.0,245.0,0.0,16.0,7.0,591.0
981,SOMIS UNION,0.0,0.0,164.0,81.0,0.0,11.0,3.0,259.0
982,SONOMA COUNTY OFFICE OF EDUCATION,20.0,28.0,218.0,147.0,1.0,8.0,7.0,429.0
983,SONOMA COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
984,SONOMA VALLEY UNIFIED,18.0,24.0,2615.0,1669.0,9.0,122.0,105.0,4562.0
985,SONORA ELEMENTARY,6.0,3.0,116.0,531.0,2.0,36.0,34.0,728.0
986,SONORA UNION HIGH,16.0,10.0,211.0,769.0,4.0,41.0,17.0,1068.0
987,SOQUEL UNION ELEMENTARY,9.0,12.0,631.0,1151.0,3.0,128.0,47.0,1981.0
988,SOULSBYVILLE ELEMENTARY,5.0,2.0,82.0,371.0,0.0,33.0,1.0,494.0
989,SOUTH BAY UNION,12.0,207.0,6137.0,503.0,30.0,193.0,295.0,7377.0
990,SOUTH BAY UNION ELEMENTARY,42.0,6.0,166.0,578.0,3.0,97.0,23.0,915.0
991,SOUTH COUNTY SUPPORT SERVICES AGENCY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
992,SOUTH FORK UNION,9.0,0.0,43.0,180.0,0.0,9.0,0.0,241.0
993,SOUTH MONTEREY COUNTY JOINT UNION HIGH,10.0,10.0,2102.0,115.0,0.0,22.0,14.0,2273.0
994,SOUTH PASADENA UNIFIED,12.0,86.0,1148.0,1348.0,5.0,501.0,1679.0,4779.0
995,SOUTH SAN FRANCISCO UNIFIED,18.0,128.0,4270.0,586.0,187.0,512.0,3178.0,8879.0
996,SOUTH WHITTIER ELEMENTARY,4.0,19.0,2753.0,89.0,4.0,4.0,45.0,2918.0
997,SOUTHEAST ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
998,SOUTHEAST ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
999,SOUTHERN CALIFORNIA ROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,SOUTHERN CALIFORNIA ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001,SOUTHERN HUMBOLDT JOINT UNIFIED,12.0,8.0,112.0,559.0,7.0,41.0,8.0,747.0
1002,SOUTHERN KERN UNIFIED,29.0,348.0,1794.0,1081.0,12.0,89.0,53.0,3406.0
1003,SOUTHERN PLACER SCHOOLS TRANSPORTATION AUTHORITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1004,SOUTHERN TRINITY JOINT UNIFIED,2.0,0.0,6.0,86.0,0.0,9.0,0.0,103.0
1005,SOUTHSIDE ELEMENTARY,0.0,2.0,131.0,43.0,0.0,60.0,0.0,236.0
1006,SOUTHWEST TRANSPORTATION AGENCY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007,SPENCER VALLEY ELEMENTARY,19.0,193.0,709.0,1004.0,17.0,222.0,112.0,2276.0
1008,SPRECKELS UNION ELEMENTARY,2.0,4.0,305.0,525.0,0.0,80.0,57.0,973.0
1009,SPRINGVILLE UNION ELEMENTARY,10.0,0.0,65.0,234.0,0.0,1.0,7.0,317.0
1010,STANDARD ELEMENTARY,40.0,32.0,914.0,2033.0,0.0,76.0,35.0,3130.0
1011,STANISLAUS COUNTY OFFICE OF EDUCATION,24.0,101.0,1205.0,877.0,13.0,97.0,64.0,2381.0
1012,STANISLAUS UNION ELEMENTARY,28.0,201.0,1775.0,746.0,36.0,273.0,399.0,3458.0
1013,STOCKTON UNIFIED,765.0,4453.0,26645.0,2472.0,213.0,1107.0,5326.0,40981.0
1014,STONE CORRAL ELEMENTARY,4.0,9.0,568.0,122.0,1.0,24.0,13.0,741.0
1015,STONY CREEK JOINT UNIFIED,43.0,0.0,7.0,40.0,0.0,7.0,0.0,97.0
1016,STRATHMORE UNION ELEMENTARY,16.0,1.0,719.0,76.0,3.0,2.0,0.0,817.0
1017,SULPHUR SPRINGS UNION,15.0,291.0,2909.0,1425.0,8.0,215.0,507.0,5370.0
1018,SUMMERVILLE ELEMENTARY,33.0,3.0,71.0,253.0,0.0,42.0,0.0,402.0
1019,SUMMERVILLE UNION HIGH,44.0,16.0,159.0,791.0,2.0,35.0,9.0,1056.0
1020,SUNDALE UNION ELEMENTARY,3.0,3.0,389.0,419.0,0.0,1.0,6.0,821.0
1021,SUNNYSIDE UNION ELEMENTARY,0.0,0.0,321.0,33.0,0.0,0.0,1.0,355.0
1022,SUNNYVALE,146.0,88.0,1969.0,1455.0,54.0,682.0,2142.0,6536.0
1023,SUNOL GLEN UNIFIED,1.0,3.0,57.0,123.0,3.0,36.0,55.0,278.0
1024,SURPRISE VALLEY JOINT UNIFIED,16.0,0.0,26.0,72.0,0.0,1.0,1.0,116.0
1025,SUSANVILLE ELEMENTARY,53.0,15.0,261.0,604.0,50.0,88.0,25.0,1096.0
1026,SUTTER COUNTY OFFICE OF EDUCATION,6.0,10.0,177.0,179.0,1.0,24.0,30.0,427.0
1027,SUTTER UNION HIGH,17.0,4.0,198.0,492.0,0.0,43.0,22.0,776.0
1028,SWEETWATER UNION HIGH,61.0,1057.0,31293.0,2322.0,136.0,1903.0,3899.0,40671.0
1029,SYLVAN UNION ELEMENTARY,32.0,347.0,3500.0,3095.0,96.0,560.0,769.0,8399.0
1030,TAFT CITY,9.0,17.0,1213.0,887.0,7.0,68.0,15.0,2216.0
1031,TAFT UNION HIGH,18.0,8.0,454.0,520.0,9.0,20.0,5.0,1034.0
1032,TAHOE-TRUCKEE UNIFIED,19.0,11.0,1532.0,2453.0,0.0,102.0,31.0,4148.0
1033,TAMALPAIS UNION HIGH,14.0,110.0,530.0,3412.0,20.0,272.0,331.0,4689.0
1034,TEHACHAPI UNIFIED,32.0,70.0,1402.0,2753.0,5.0,67.0,67.0,4396.0
1035,TEHAMA COUNTY DEPARTMENT OF EDUCATION,0.0,3.0,44.0,147.0,0.0,14.0,0.0,208.0
1036,TEHAMA COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1037,TEMECULA VALLEY UNIFIED,187.0,998.0,10000.0,12981.0,74.0,3030.0,2575.0,29845.0
1038,TEMPLE CITY UNIFIED,9.0,34.0,1227.0,508.0,7.0,180.0,3916.0,5881.0
1039,TEMPLETON UNIFIED,14.0,11.0,512.0,1682.0,5.0,120.0,44.0,2388.0
1040,TERRA BELLA UNION ELEMENTARY,2.0,3.0,875.0,24.0,0.0,2.0,8.0,914.0
1041,THERMALITO UNION ELEMENTARY,66.0,32.0,196.0,647.0,6.0,125.0,421.0,1493.0
1042,THREE RIVERS UNION ELEMENTARY,1.0,0.0,31.0,88.0,0.0,15.0,5.0,140.0
1043,TIPTON ELEMENTARY,1.0,3.0,509.0,12.0,0.0,33.0,6.0,564.0
1044,TORRANCE UNIFIED,46.0,883.0,6949.0,5320.0,120.0,2121.0,8205.0,23644.0
1045,TRACY JOINT UNIFIED,49.0,1033.0,8294.0,3603.0,157.0,609.0,2681.0,16426.0
1046,TRAVER JOINT ELEMENTARY,0.0,0.0,200.0,9.0,0.0,1.0,6.0,216.0
1047,TRAVIS UNIFIED,33.0,626.0,1297.0,2130.0,71.0,583.0,824.0,5564.0
1048,TRES PINOS UNION ELEMENTARY,1.0,0.0,34.0,86.0,0.0,3.0,0.0,124.0
1049,TRI-CITIES ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050,TRI-CITIES ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
